id,name,name_with_place,municipality,locality,modes,lines,line_count,has_bus,has_rail
de:08111:242,Austraße,Austraße,Stuttgart,Stuttgart,Bus,59,1,True,False
de:08111:6272,Bachhalde,Bachhalde,Stuttgart,Stuttgart,Bus,"53, 53E",2,True,False
de:08111:2434,Baumgartenweg,Baumgartenweg,Stuttgart,Stuttgart,Bus,66,1,True,False
de:08111:6267,Beilsteiner Straße,Beilsteiner Straße,Stuttgart,Stuttgart,Bus,53,1,True,False
de:08111:6007,Berghaustraße,Berghaustraße,Stuttgart,Stuttgart,Bus,"82, 86",2,True,False
de:08111:90,Bergstaffelstraße,Bergstaffelstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"61, N7",2,True,False
de:08111:2582,Berufsbildungszentrum,Berufsbildungszentrum,Stuttgart,Stuttgart,Bus; Nachtbus,"80, N10",2,True,False
de:08111:375,Bieler Weg,Bieler Weg,Stuttgart,Stuttgart,Nachtbus,N7,1,True,False
de:08111:2545,Birkacher Straße,Birkacher Straße,Stuttgart,Stuttgart,Bus,65,1,True,False
de:08111:2451,Birkenkopf,Birkenkopf,Stuttgart,Stuttgart,Bus,92,1,True,False
de:08111:6069,Bismarckplatz,Bismarckplatz,Stuttgart,Stuttgart,Bus; Nachtbus,"42, N10",2,True,False
de:08111:2261,Bismarckstaffel,Bismarckstaffel,Stuttgart,Stuttgart,Bus,92,1,True,False
de:08111:2460,Borkumstraße (Neuw.-siedl.),Borkumstraße (Neuw.-siedl.),Stuttgart,Stuttgart,Bus,"52, 612",2,True,False
de:08111:2421,Botnang Freibad,Botnang Freibad,Stuttgart,Stuttgart,Bus,91,1,True,False
de:08111:244,Brigachstraße,Brigachstraße,Stuttgart,Stuttgart,Bus,59,1,True,False
de:08111:2206,Bruderhaus,Bruderhaus,Stuttgart,Stuttgart,Bus,92,1,True,False
de:08111:6200,Buchrain Friedhof,Buchrain Friedhof,Stuttgart,Stuttgart,Bus,84,1,True,False
de:08111:2187,Buchwald,Buchwald,Stuttgart,Stuttgart,Bus,45,1,True,False
de:08111:245,Burgholzstraße,Burgholzstraße,Stuttgart,Stuttgart,Bus,59,1,True,False
de:08111:2432,Bußbachstraße,Bußbachstraße,Stuttgart,Stuttgart,Bus,66,1,True,False
de:08111:2520,Bächlenweg,Bächlenweg,Stuttgart,Stuttgart,Bus; Ruftaxi,"62, RT7",2,True,False
de:08111:69,Büchsenstraße,Büchsenstraße,Stuttgart,Stuttgart,Bus,47,1,True,False
de:08111:2605,Dachswald,Dachswald,Stuttgart,Stuttgart,Bus; Nachtbus,"82, N1",2,True,False
de:08111:2259,Dessauer Straße,Dessauer Straße,Stuttgart,Stuttgart,Bus; Nachtbus,"56, N4",2,True,False
de:08111:2194,Dillmannstraße,Dillmannstraße,Stuttgart,Stuttgart,Bus,43,1,True,False
de:08111:2621,Ditzinger Straße,Ditzinger Straße,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:6099,Dornhaldenstraße,Dornhaldenstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"41, N10",2,True,False
de:08111:6172,Dornröschenweg,Dornröschenweg,Stuttgart,Stuttgart,Bus; Nachtbus,"72, N9",2,True,False
de:08111:246,Dreiecksplatz,Dreiecksplatz,Stuttgart,Stuttgart,Bus,59,1,True,False
de:08111:2521,Dürrbachstraße,Dürrbachstraße,Stuttgart,Stuttgart,Bus; Ruftaxi,"62, RT7",2,True,False
de:08111:2614,Dürrlewang (bis 12.05.2016),Dürrlewang (bis 12.05.2016),Stuttgart,Stuttgart,Bus,81,1,True,False
de:08111:89,Ebniseestraße,Ebniseestraße,Stuttgart,Stuttgart,Bus; Nachtbus,"61, N7",2,True,False
