Linienname;Überschrift;Betriebszweig;DIVA-Name;Globale ID;
"U3";"Plieningen - Möhringen - Vaihingen";"20";"20003_";"de:vvs:20003_:";
"U4";"Untertürkheim - Charlottenplatz - Hölderlinplatz";"20";"20004_";"de:vvs:20004_:";
"U5";"Killesberg - Hauptbahnhof - Leinfelden Neuer Markt";"20";"20005_";"de:vvs:20005_:";
"U6";"Gerlingen - Hauptbahnhof - Flughafen/Messe";"20";"20006_";"de:vvs:20006_:";
"U7";"Mönchfeld - Hauptbahnhof - Ostfildern";"20";"20007_";"de:vvs:20007_:";
"U8";"Ostfildern - Degerloch - Vaihingen";"20";"20008_";"de:vvs:20008_:";
"U9";"Hedelfingen - Hauptbahnhof - Vogelsang (-Botnang)";"20";"20009_";"de:vvs:20009_:";
"U12";"Remseck - Hauptbahnhof - Dürrlewang";"20";"20012_";"de:vvs:20012_:";
"U13";"Feuerbach - Bad Cannstatt - Hedelfingen";"20";"20013_";"de:vvs:20013_:";
"U14";"Mühlhausen - Charlottenplatz - Vaihingen";"20";"20014_";"de:vvs:20014_:";
"U15";"Stammheim - Hauptbahnhof - Ruhbank (- Heumaden)";"20";"20015_";"de:vvs:20015_:";
"U16";"Giebel - Feuerbach - Bad Cannstatt - Fellbach";"20";"20016_";"de:vvs:20016_:";
"U19";"Neugereut - Bad Cannstatt Wilhelmsplatz - NeckarPark (Stadion)";"20";"20019_";"de:vvs:20019_:";
"10";"Marienplatz - Haigst - Degerloch (Zahnradbahn Zacke)";"21";"21010_";"de:vvs:21010_:";
"20";"Südheimer Platz - Waldfriedhof (Seilbahn)";"21";"21020_";"de:vvs:21020_:";
"X2";"Rotebühlplatz - Schwabstraße - Leonberg";"30";"30032_";"de:vvs:30032_:";
"10";"Marienplatz - Degerloch (Zackebus)";"30";"30033_";"de:vvs:30033_:";
"40";"Wagenburgstraße - Hauptbahnhof - Vogelsang";"30";"30040_";"de:vvs:30040_:";
"41";"Berliner Platz - Feuersee - Lerchenrainschule";"30";"30041_";"de:vvs:30041_:";
"42";"Schlossplatz - Hauptbahnhof - Erwin-Schoettle-Platz";"30";"30042_";"de:vvs:30042_:";
"43";"Pragsattel - Rotebühlplatz (Stadtmitte) - Feuersee";"30";"30043_";"de:vvs:30043_:";
"44";"Killesberg - Hauptbahnhof - Westbahnhof";"30";"30044_";"de:vvs:30044_:";
"45";"Buchwald - Wagenburgstraße - Mercedes-Benz-Welt - Bad Cannstatt";"30";"30045_";"de:vvs:30045_:";
"47";"Wagenburgstraße - Hauptbahnhof";"30";"30047_";"de:vvs:30047_:";
"50";"Killesberg - Doggenburg - Westbahnhof";"30";"30050_";"de:vvs:30050_:";
"52";"(Korntaler Straße -) Borkumstraße - Hallschlag - Rosensteinbrücke";"30";"30052_";"de:vvs:30052_:";
"53";"Mühlhausen - Zazenhausen -  Zuffenhausen (- Feuerbach)";"30";"30053_";"de:vvs:30053_:";
"54";"Freiberg - Mühlhausen- Neugereut (- Sommerrain)";"30";"30054_";"de:vvs:30054_:";
"56";"Münster - Rosensteinbrücke";"30";"30056_";"de:vvs:30056_:";
"57";"R.-Bosch-Krankenhaus - Burgholzhof - Pragsattel";"30";"30057_";"de:vvs:30057_:";
"58";"Schmiden - Obere Ziegelei (- Sommerrain)";"30";"30058_";"de:vvs:30058_:";
"59";"Münster Rathaus - Münster Friedhof";"30";"30059_";"de:vvs:30059_:";
"60";"Oeffingen - Fellbach - Untertürkheim";"30";"30060_";"de:vvs:30060_:";
"61";"Rotenberg - Untertürkheim - Obertürkheim";"30";"30061_";"de:vvs:30061_:";
"62";"Uhlbach - Obertürkheim - Rohracker";"30";"30062_";"de:vvs:30062_:";
"64";"Stelle - Frauenkopf";"30";"30064_";"de:vvs:30064_:";
"65";"(Uhlbach -) Obertürkheim - Plieningen - Flughafen/Messe (SAB)";"30";"30065_";"de:vvs:30065_:";
"66";"Kühwasen - Geschwister- Scholl-Gymnasium";"30";"30066_";"de:vvs:30066_:";
"70";"(Hoffeld -) Ruhbank (Fernsehturm) - Plieningen";"30";"30070_";"de:vvs:30070_:";
"71";"Hoffeld - Degerloch ZOB - Schönberg";"30";"30071_";"de:vvs:30071_:";
"72";"Möhringen - Möhringen Rathaus - Fasanenhof";"30";"30072_";"de:vvs:30072_:";
"73";"Degerloch - Plieningen Garbe - Neuhausen";"30";"30073_";"de:vvs:30073_:";
"74";"Degerloch - Bernhausen - Nürtingen";"30";"30074_";"de:vvs:30074_:";
"76";"Degerloch - Bernhausen - Echterdingen";"30";"30076_";"de:vvs:30076_:";
"77";"Degerloch - Echterdingen - Harthausen";"30";"30077_";"de:vvs:30077_:";
"80";"Vaihingen Bf (Ost) - Synergiepark - Vaihingen Bf (Ost)";"30";"30080_";"de:vvs:30080_:";
"81";"Büsnau - Vaihingen - Dürrlewang";"30";"30081_";"de:vvs:30081_:";
"82";"Waldeck - Vaihingen - Hans-Rehn-Stift - Rohr Mitte (- Leinfelden Bf)";"30";"30082_";"de:vvs:30082_:";
"84";"Vaihingen - Sindelfingen - Universität";"30";"30084_";"de:vvs:30084_:";
"86";"Vaihingen - Rohr Mitte - Leinfelden";"30";"30086_";"de:vvs:30086_:";
"90";"Korntal - Weilimdorf - Giebel";"30";"30090_";"de:vvs:30090_:";
"91";"Feuerbach - Botnang - Lauchhau (- Büsnauer Platz)";"30";"30091_";"de:vvs:30091_:";
