Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Relationscode;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate;
"Stäuchle";"Holzgerlingen Stäuchle";"4881";"de:08115:4881";08115024;"Holzgerlingen";"Holzgerlingen";"BB";"058";"58,4";"Bus";"756,757";"31756_,31757_";2;"31";9,0118263;48,6366086;
"Hauptstraße";"Hegnach Hauptstr.";"4882";"de:08119:4882";08119079;"Waiblingen";"Hegnach";"WN";"032";"32,2";"Bus;Nachtbus";"204,431,N24";"31204_,31431_,34024_";3;"31,34";9,2949336;48,8562930;
"Dorfstraße";"Neckarrems Dorfstraße";"4883";"de:08118:4883";08118081;"Remseck am Neckar";"Neckarrems";"LB";"334";"32,34,2";"Bus;Nachtbus";"402,402A,431,N43";"31402_,31402a,31431_,34043_";4;"31,34";9,2756296;48,8697573;
"Neckarhalde";"Neckarrems Neckarhalde";"4885";"de:08118:4885";08118081;"Remseck am Neckar";"Neckarrems";"LB";"334";"32,34,2";"Bus;Nachtbus";"402,402A,431,N43";"31402_,31402a,31431_,34043_";4;"31,34";9,2793257;48,8725899;
"Rathaus";"Neckarrems Rathaus";"4887";"de:08118:4887";08118081;"Remseck am Neckar";"Neckarrems";"LB";"334";"32,34,2";"Bus;Nachtbus";"402,402A,431,N43";"31402_,31402a,31431_,34043_";4;"31,34";9,2738566;48,8720815;
"Schlosshof";"Aldingen Schlosshof";"4888";"de:08118:4888";08118081;"Remseck am Neckar";"Aldingen";"LB";"334";"32,34,2";"Bus";"402,402A,403,533";"31402_,31402a,31403_,31533_";4;"31";9,2522493;48,8637232;
"Wasenstraße";"Neckargröningen Wasenstr.";"4889";"de:08118:4889";08118081;"Remseck am Neckar";"Neckargröningen";"LB";"334";"32,34,2";"Bus";"402A,403,431";"31402a,31403_,31431_";3;"31";9,2731476;48,8745561;
"Lamm";"Neckargröningen Lamm";"4890";"de:08118:4890";08118081;"Remseck am Neckar";"Neckargröningen";"LB";"334";"32,34,2";"Bus";"402A,403,431";"31402a,31403_,31431_";3;"31";9,2743602;48,8769091;
"Bank";"Neckargröningen Bank";"4891";"de:08118:4891";08118081;"Remseck am Neckar";"Neckargröningen";"LB";"334";"32,34,2";"Bus";"402A,403,431";"31402a,31403_,31431_";3;"31";9,2707636;48,8773673;
"Westfalenstraße";"Oßweil Westfalenstr.";"4892";"de:08118:4892";08118048;"Ludwigsburg";"Oßweil";"LB";"034";"34,2";"Bus;Nachtbus";"425,425A,431,N43";"31425_,31425a,31431_,34043_";4;"31,34";9,2284570;48,8915948;
"Comburgstraße";"Ludwigsburg Comburgstr.";"4893";"de:08118:4893";08118048;"Ludwigsburg";"Ludwigsburg";"LB";"034";"34,2";"Bus;Nachtbus";"425,425A,426,431,433A,N42,N43";"31425_,31425a,31426_,31431_,31433a,34042_,34043_";7;"31,34";9,2161847;48,8949636;
"Schorndorfer Tor";"Ludw. Schorndorfer Tor";"4894";"de:08118:4894";08118048;"Ludwigsburg";"Ludwigsburg";"LB";"034";"34,2";"Bus;Nachtbus";"422,422A,425,425A,426,431,433,433A,443,N42,N43";"31422_,31422a,31425_,31425a,31426_,31431_,31433_,31433a,31443_,34042_,34043_";11;"31,34";9,2029332;48,8960579;
"Hermann-Schwab-Halle";"Winnenden H.-Schwab-Halle";"4896";"de:08119:4896";08119085;"Winnenden";"Winnenden";"WN";"543";"43,3";"Bus";"334,335,339";"31334_,31335_,31339_";3;"31";9,4000036;48,8703544;
"Katharinenhof";"Strümpf. Katharinenhof";"4898";"de:08119:4898";08119008;"Backnang";"Strümpfelbach (Backnang)";"WN";"264";"53,54,63,64,4,5";"Bus";"390,390A";"31390_,31390a";2;"31";9,4435124;48,9778674;
"Post";"Oppenweiler Post";"4899";"de:08119:4899";08119053;"Oppenweiler";"Oppenweiler";"WN";"364";"63,64,5";"Bus";"390,390A,391";"31390_,31390a,31391_";3;"31";9,4576316;48,9817147;
"Ortsmitte";"Oppenweiler Ortsmitte";"4901";"de:08119:4901";08119053;"Oppenweiler";"Oppenweiler";"WN";"364";"63,64,5";"Bus;SEV-Bus";"390,390A,391,RE90E,MEX90E";"31390_,31390a,31391_,36090e,36091e";5;"31,36";9,4590908;48,9843975;
"Reichenberg";"Oppenweiler Reichenberg";"4902";"de:08119:4902";08119053;"Oppenweiler";"Oppenweiler";"WN";"364";"63,64,5";"Bus";"390,390A";"31390_,31390a";2;"31";9,4632041;48,9903878;
"Ellenweiler";"Oppenweiler Ellenweiler";"4903";"de:08119:4903";08119053;"Oppenweiler";"Oppenweiler";"WN";"364";"63,64,5";"Bus";"390,390A";"31390_,31390a";2;"31";9,4747031;48,9969412;
"Schloss Lautereck";"Sulzb.(M) Schloss Lautereck";"4904";"de:08119:4904";08119075;"Sulzbach an der Murr";"Sulzbach (M)";"WN";"474";"63,64,73,74,5";"Bus";"372,380,380A,385,386,390,390A";"31372_,31380_,31380a,31385_,31386_,31390_,31390a";7;"31";9,4974809;49,0034992;
"Marktplatz";"Sulzbach (M) Marktplatz";"4905";"de:08119:4905";08119075;"Sulzbach an der Murr";"Sulzbach (M)";"WN";"474";"63,64,73,74,5";"Bus;Ruftaxi;SEV-Bus";"372,380,380A,385,386,390,390A,RE90E,MEX90E,RT380,RT386";"31372_,31380_,31380a,31385_,31386_,31390_,31390a,36090e,36091e,50380_,50386_";11;"31,36,50";9,5013666;49,0025472;
"Berwinkel";"Sulzb.(M) Berwinkel";"4906";"de:08119:4906";08119075;"Sulzbach an der Murr";"Sulzbach (M)";"WN";"474";"63,64,73,74,5";"Bus;Ruftaxi";"372,380,380A,RT380";"31372_,31380_,31380a,50380_";4;"31,50";9,5162929;49,0330812;
"Abzweig Neufürstenhütte";"Großerl. Abzw. Neufürstenhütte";"4908";"de:08119:4908";08119024;"Großerlach";"Großerlach";"WN";"374";"73,74,5";"Bus";"372,380";"31372_,31380_";2;"31";9,5141505;49,0494383;
"Murrhardter Straße";"Sulzbach (M) Murrhardter Str.";"4910";"de:08119:4910";08119075;"Sulzbach an der Murr";"Sulzbach (M)";"WN";"474";"63,64,73,74,5";"Bus";"390,390A";"31390_,31390a";2;"31";9,5051530;49,0026116;
"Hummelbühl";"Sulzbach (M) Hummelbühl";"4911";"de:08119:4911";08119075;"Sulzbach an der Murr";"Sulzbach (M)";"WN";"474";"63,64,73,74,5";"Bus";"372,390,390A";"31372_,31390_,31390a";3;"31";9,5168544;49,0015076;
"Bartenbach";"Sulzb.(M) Bartenbach";"4912";"de:08119:4912";08119075;"Sulzbach an der Murr";"Sulzbach (M)";"WN";"474";"63,64,73,74,5";"Bus;Ruftaxi";"372,380A,390,390A,RT380";"31372_,31380a,31390_,31390a,50380_";5;"31,50";9,5349348;48,9963087;
"Theodor-Heuss-Straße";"Murrh. Th.-Heuss-Straße";"4913";"de:08119:4913";08119044;"Murrhardt";"Murrhardt";"WN";"073";"73,5";"Bus";"373,375";"31373_,31375_";2;"31";9,5822024;48,9786079;
"Bodelschwinghschule";"Murrh. Bodelschwinghschule";"4914";"de:08119:4914";08119044;"Murrhardt";"Murrhardt";"WN";"073";"73,5";"Bus";"372,377,390,390A";"31372_,31377_,31390_,31390a";4;"31";9,5561082;48,9845367;
"Hörschbachschule";"Murrh. Hörschbachschule";"4915";"de:08119:4915";08119044;"Murrhardt";"Murrhardt";"WN";"073";"73,5";"Bus";"372,374,377,390,390A";"31372_,31374_,31377_,31390_,31390a";5;"31";9,5638229;48,9817206;
"Murrhardt";"Murrhardt";"4916";"de:08119:4916";08119044;"Murrhardt";"Murrhardt";"WN";"073";"73,5";"Bus;R-Bahn;Ruftaxi;SEV-Bus";"MEX19,RE90,MEX90,372,373,374,375,377,390,390A,RE90E,MEX90E,RT37,RT38,RT39";"11019_,11090_,11091_,31372_,31373_,31374_,31375_,31377_,31390_,31390a,36090e,36091e,51037_,51038_,51039_";15;"11,31,36,51";9,5777829;48,9827126;
"Erich-Schumm-Straße";"Murrh. Erich-Schumm-Straße";"4917";"de:08119:4917";08119044;"Murrhardt";"Murrhardt";"WN";"073";"73,5";"Bus";"374,377,390,390A";"31374_,31377_,31390_,31390a";4;"31";9,5832731;48,9860660;
"Gymnasium";"Murrhardt Gymnasium";"4918";"de:08119:4918";08119044;"Murrhardt";"Murrhardt";"WN";"073";"73,5";"Bus";"373,374,375,377,390,390A";"31373_,31374_,31375_,31377_,31390_,31390a";6;"31";9,5845491;48,9888560;
"Siegelsberg";"Murrhardt Siegelsberg";"4919";"de:08119:4919";08119044;"Murrhardt";"Murrhardt";"WN";"073";"73,5";"Bus;Ruftaxi";"374,RT39";"31374_,51039_";2;"31,51";9,5915483;48,9914550;
"Alm";"Murrhardt Alm";"4922";"de:08119:4922";08119044;"Murrhardt";"Murrhardt";"WN";"073";"73,5";"Bus;Ruftaxi";"373,375,RT38";"31373_,31375_,51038_";3;"31,51";9,6029728;48,9745895;
"Hausen";"Murrhardt Hausen";"4923";"de:08119:4923";08119044;"Murrhardt";"Murrhardt";"WN";"073";"73,5";"Bus;Ruftaxi";"373,375,RT38";"31373_,31375_,51038_";3;"31,51";9,6168675;48,9726097;
"Eisenschmiedmühle";"Murrh. Eisenschmiedmühle";"4924";"de:08119:4924";08119044;"Murrhardt";"Murrhardt";"WN";"073";"73,5";"Bus;Ruftaxi";"373,375,RT38";"31373_,31375_,51038_";3;"31,51";9,6289531;48,9713034;
"Marktplatz";"Fornsbach Marktplatz";"4925";"de:08119:4925";08119044;"Murrhardt";"Fornsbach";"WN";"073";"73,5";"Bus;Ruftaxi";"373,375,RT38";"31373_,31375_,51038_";3;"31,51";9,6492587;48,9772336;
"Kindergarten";"Fornsbach Kindergarten";"4926";"de:08119:4926";08119044;"Murrhardt";"Fornsbach";"WN";"073";"73,5";"Bus";"373,375";"31373_,31375_";2;"31";9,6537530;48,9772351;
"Alte Straße";"Fornsbach Alte Straße";"4927";"de:08119:4927";08119044;"Murrhardt";"Fornsbach";"WN";"073";"73,5";"Bus;SEV-Bus";"373,375,RE90E,MEX90E";"31373_,31375_,36090e,36091e";4;"31,36";9,6473570;48,9759494;
"Kelter";"Stetten i. R. Kelter";"4928";"de:08119:4928";08119093;"Kernen im Remstal";"Stetten (i. R.)";"WN";"632";"32,2";"Bus;Nachtbus";"211,212,219,N21";"31211_,31212_,31219_,34021_";4;"31,34";9,3377889;48,7850999;
"Evangelische Kirche";"Stetten i. R. Ev. Kirche";"4929";"de:08119:4929";08119093;"Kernen im Remstal";"Stetten (i. R.)";"WN";"632";"32,2";"Bus;Nachtbus";"211,212,219,N21";"31211_,31212_,31219_,34021_";4;"31,34";9,3418145;48,7887569;
"Kegelplatz";"Stetten i. R. Kegelplatz";"4930";"de:08119:4930";08119093;"Kernen im Remstal";"Stetten (i. R.)";"WN";"632";"32,2";"Bus;Nachtbus";"211,212,219,N21,X20";"31211_,31212_,31219_,34021_,35X20_";5;"31,34,35";9,3379395;48,7872576;
"Stettener Bank";"Stetten i. R. Stettener Bank";"4931";"de:08119:4931";08119093;"Kernen im Remstal";"Stetten (i. R.)";"WN";"632";"32,2";"Bus;Nachtbus";"211,212,219,N21";"31211_,31212_,31219_,34021_";4;"31,34";9,3412925;48,7900443;
"Zum Kleinen Feldle";"Stetten i. R. Zum Kl. Feldle";"4932";"de:08119:4932";08119093;"Kernen im Remstal";"Stetten (i. R.)";"WN";"632";"32,2";"Bus;Nachtbus";"211,212,N21";"31211_,31212_,34021_";3;"31,34";9,3396895;48,7904717;
"Diakonie";"Stetten i. R. Diakonie";"4933";"de:08119:4933";08119093;"Kernen im Remstal";"Stetten (i. R.)";"WN";"632";"32,2";"Bus;Nachtbus";"211,212,N21,X20";"31211_,31212_,34021_,35X20_";4;"31,34,35";9,3404673;48,7927804;
"Endersbacher Straße";"Stetten i. R. Endersb. Str.";"4934";"de:08119:4934";08119093;"Kernen im Remstal";"Stetten (i. R.)";"WN";"632";"32,2";"Bus;Nachtbus";"211,212,219,N21";"31211_,31212_,31219_,34021_";4;"31,34";9,3420436;48,7964087;
"Hangweide";"Rommelsh. Hangweide";"4935";"de:08119:4935";08119093;"Kernen im Remstal";"Rommelshausen";"WN";"632";"32,2";"Bus;Nachtbus";"211,212,N21";"31211_,31212_,34021_";3;"31,34";9,3319147;48,8043067;
"Rumold-Realschule";"Rommelsh. Rumold-Realschule";"4936";"de:08119:4936";08119093;"Kernen im Remstal";"Rommelshausen";"WN";"632";"32,2";"Bus;Nachtbus;Ruftaxi";"210,211,212,N21,RT225";"31210_,31211_,31212_,34021_,51225_";5;"31,34,51";9,3252418;48,8081475;
"Schafstraße";"Rommelshausen Schafstr.";"4938";"de:08119:4938";08119093;"Kernen im Remstal";"Rommelshausen";"WN";"632";"32,2";"Bus;Ruftaxi";"210,211,212,RT225";"31210_,31211_,31212_,51225_";4;"31,51";9,3228462;48,8061129;
"Unter den Arkaden";"Rommelsh. Unter den Arkaden";"4939";"de:08119:4939";08119093;"Kernen im Remstal";"Rommelshausen";"WN";"632";"32,2";"Bus";"210,211,212";"31210_,31211_,31212_";3;"31";9,3187047;48,8077971;
"Sommerhalde";"Waiblingen Sommerhalde";"4940";"de:08119:4940";08119079;"Waiblingen";"Waiblingen";"WN";"032";"32,2";"Bus;Nachtbus";"210,211,N21";"31210_,31211_,34021_";3;"31,34";9,3134964;48,8196363;
"Löwenkeller";"Schorndorf Löwenkeller";"4943";"de:08119:4943";08119067;"Schorndorf";"Schorndorf";"WN";"052";"52,4";"Bus";"241,935";"31241_,31935_";2;"31";9,5352048;48,8033252;
"Höhenweg";"Oberberken Höhenweg";"4946";"de:08119:4946";08119067;"Schorndorf";"Oberberken";"WN";"052";"52,4";"Bus";"241,935A";"31241_,31935a";2;"31";9,5527589;48,7767236;
"Backhaus";"Oberberken Backhaus";"4947";"de:08119:4947";08119067;"Schorndorf";"Oberberken";"WN";"052";"52,4";"Bus";"241,935A";"31241_,31935a";2;"31";9,5553720;48,7768010;
"Unterberken Herrenbachstraße";"Oberb. Unterb. Herrenbachstr.";"4948";"de:08119:4948";08119067;"Schorndorf";"Oberberken";"WN";"052";"52,4";"Bus";"241,935A";"31241_,31935a";2;"31";9,5709564;48,7653133;
"Gaildorfer Straße";"Backnang Gaildorfer Str.";"4949";"de:08119:4949";08119008;"Backnang";"Backnang";"WN";"354";"53,54,4";"Bus";"390,390A";"31390_,31390a";2;"31";9,4319506;48,9630743;
"Bühlfeld";"Oppenweiler Bühlfeld";"4950";"de:08119:4950";08119053;"Oppenweiler";"Oppenweiler";"WN";"364";"63,64,5";"Bus";"390,390A,391";"31390_,31390a,31391_";3;"31";9,4564180;48,9804696;
"Murrtalschule";"Oppenweiler Murrtalschule";"4951";"de:08119:4951";08119053;"Oppenweiler";"Oppenweiler";"WN";"364";"63,64,5";"Bus";"390,390A,391";"31390_,31390a,31391_";3;"31";9,4607771;48,9865129;
"Sulzbach (M)";"Sulzbach (M)";"4952";"de:08119:4952";08119075;"Sulzbach an der Murr";"Sulzbach (M)";"WN";"474";"63,64,73,74,5";"Bus;R-Bahn;Ruftaxi;SEV-Bus";"MEX19,RE90,MEX90,372,380,385,386,390A,RE90E,MEX90E,RT380,RT386";"11019_,11090_,11091_,31372_,31380_,31385_,31386_,31390a,36090e,36091e,50380_,50386_";12;"11,31,36,50";9,5003517;48,9994763;
"Lautertal";"Sulzbach (M) Lautertal";"4953";"de:08119:4953";08119075;"Sulzbach an der Murr";"Sulzbach (M)";"WN";"474";"63,64,73,74,5";"Bus";"385,386";"31385_,31386_";2;"31";9,4933562;49,0051715;
"Dauernberg Abzweig";"Spiegelberg Dauernberg Abzw.";"4954";"de:08119:4954";08119069;"Spiegelberg";"Spiegelberg";"WN";"074";"74,5";"Bus";"385,386";"31385_,31386_";2;"31";9,4508613;49,0277088;
"Siebersbach";"Sulzb.(M) Siebersbach";"4955";"de:08119:4955";08119075;"Sulzbach an der Murr";"Sulzbach (M)";"WN";"474";"63,64,73,74,5";"Bus;Ruftaxi";"385,386,RT386";"31385_,31386_,50386_";3;"31,50";9,4683214;49,0173433;
"Bernhalden";"Oppenw. Bernhalden";"4956";"de:08119:4956";08119053;"Oppenweiler";"Oppenweiler";"WN";"274";"63,64,73,74,5";"Bus;Ruftaxi";"385,386,RT386";"31385_,31386_,50386_";3;"31,50";9,4575590;49,0214689;
"Dauernberg";"Spiegelb. Dauernberg";"4957";"de:08119:4957";08119069;"Spiegelberg";"Spiegelberg";"WN";"074";"74,5";"Bus;Ruftaxi";"385,386,RT386";"31385_,31386_,50386_";3;"31,50";9,4598859;49,0306405;
"Sulzbacher Straße";"Spiegelberg Sulzbacher Str.";"4958";"de:08119:4958";08119069;"Spiegelberg";"Spiegelberg";"WN";"074";"74,5";"Bus;Ruftaxi";"385,386,RT386";"31385_,31386_,50386_";3;"31,50";9,4466335;49,0365914;
"Löwensteiner Straße";"Spiegelberg Löwensteiner Str.";"4959";"de:08119:4959";08119069;"Spiegelberg";"Spiegelberg";"WN";"074";"74,5";"Bus;Ruftaxi";"385,RT386";"31385_,50386_";2;"31,50";9,4467504;49,0389468;
"Gieshof";"Spiegelberg Gieshof";"4960";"de:08119:4960";08119069;"Spiegelberg";"Spiegelberg";"WN";"074";"74,5";"Bus;Ruftaxi";"385,RT386";"31385_,50386_";2;"31,50";9,4435736;49,0477443;
"Großhöchberger Straße";"Spiegelb. Großhöchberger Str.";"4961";"de:08119:4961";08119069;"Spiegelberg";"Spiegelberg";"WN";"074";"74,5";"Bus";"385,386";"31385_,31386_";2;"31";9,4468641;49,0379033;
"Erlach Abzweig";"Großerlach Erlach Abzw.";"4962";"de:08119:4962";08119024;"Großerlach";"Großerlach";"WN";"374";"73,74,5";"Bus";"372,380";"31372_,31380_";2;"31";9,5189124;49,0403620;
"Mittelfischbach Abzweigung";"Großerl. Mittelfischb. Abzw.";"4964";"de:08119:4964";08119024;"Großerlach";"Großerlach";"WN";"374";"73,74,5";"Bus";"372,380";"31372_,31380_";2;"31";9,5044421;49,0498768;
"Post";"Großerlach Post";"4965";"de:08119:4965";08119024;"Großerlach";"Großerlach";"WN";"374";"73,74,5";"Bus;Ruftaxi";"372,380,RT380";"31372_,31380_,50380_";3;"31,50";9,5146967;49,0533114;
"Oberfischbach";"Großerl. Oberfischbach";"4966";"de:08119:4966";08119024;"Großerlach";"Großerlach";"WN";"374";"73,74,5";"Bus;Ruftaxi";"372,380,RT380";"31372_,31380_,50380_";3;"31,50";9,4975244;49,0530631;
"Kleinerlach";"Großerlach Kleinerlach";"4967";"de:08119:4967";08119024;"Großerlach";"Großerlach";"WN";"374";"73,74,5";"Bus;Ruftaxi";"372,380,RT380";"31372_,31380_,50380_";3;"31,50";9,4994177;49,0590525;
"Neufürstenhütte";"Großerl. Neufürstenhütte";"4968";"de:08119:4968";08119024;"Großerlach";"Großerlach";"WN";"374";"73,74,5";"Bus;Ruftaxi";"372,380,RT380";"31372_,31380_,50380_";3;"31,50";9,4999705;49,0636810;
"Altfürstenhütte";"Großerl. Altfürstenhütte";"4969";"de:08119:4969";08119024;"Großerlach";"Großerlach";"WN";"374";"73,74,5";"Bus;Ruftaxi";"372,380,RT380";"31372_,31380_,50380_";3;"31,50";9,5067399;49,0699908;
"Böhringsweiler";"Großerl. Böhringsweiler";"4970";"de:08119:4970";08119024;"Großerlach";"Großerlach";"WN";"374";"73,74,5";"Bus;Ruftaxi";"372,380,RT380";"31372_,31380_,50380_";3;"31,50";9,5108896;49,0729398;
"Kreiskrankenhaus";"Backnang Kreiskrankenhaus";"4971";"de:08119:4971";08119008;"Backnang";"Backnang";"WN";"354";"53,54,4";"Bus";"365,381,382,383,384,N36";"31365_,31381_,31382_,31383_,31384_,34036_";6;"31,34";9,4394885;48,9412849;
"Industriestraße";"Backnang Industriestraße";"4972";"de:08119:4972";08119008;"Backnang";"Backnang";"WN";"354";"53,54,4";"Bus";"365,381,382,383,384,393,N36";"31365_,31381_,31382_,31383_,31384_,31393_,34036_";7;"31,34";9,4461123;48,9370691;
"Ungeheuerhof Abzweig";"Backnang Ungeheuerhof Abzw.";"4973";"de:08119:4973";08119008;"Backnang";"Backnang";"WN";"354";"53,54,4";"Bus";"365,381,382,383,384,393,N36";"31365_,31381_,31382_,31383_,31384_,31393_,34036_";7;"31,34";9,4465160;48,9333627;
"Kreuzung";"Heiningen Kreuzung";"4974";"de:08119:4974";08119008;"Backnang";"Heiningen (Backnang)";"WN";"453";"53,4";"Bus";"369,381,382,383,384,393,N36";"31369_,31381_,31382_,31383_,31384_,31393_,34036_";7;"31,34";9,4542517;48,9255363;
"Ungeheuerhof";"Backnang Ungeheuerhof";"4975";"de:08119:4975";08119008;"Backnang";"Backnang";"WN";"354";"53,54,4";"Bus";"365";"31365_";1;"31";9,4565365;48,9306618;
"Rathaus";"Unterbrüden Rathaus";"4976";"de:08119:4976";08119006;"Auenwald";"Unterbrüden";"WN";"173";"63,73,5";"Bus";"365A,366,381";"31365a,31366_,31381_";3;"31";9,5006841;48,9372405;
"Stockäcker";"Cottenweiler Stockäcker";"4977";"de:08119:4977";08119083;"Weissach im Tal";"Cottenweiler";"WN";"163";"53,63,4,5";"Bus";"383";"31383_";1;"31";9,4833604;48,9214433;
"Weissachstraße";"Oberweissach Weissachstr.";"4978";"de:08119:4978";08119083;"Weissach im Tal";"Oberweissach";"WN";"163";"53,63,4,5";"Bus";"381,382,382A,384";"31381_,31382_,31382a,31384_";4;"31";9,5002406;48,9229268;
"Hohnweiler Rathausstraße";"Lippoldsw. Hohnw. Rathausstr.";"4979";"de:08119:4979";08119006;"Auenwald";"Lippoldsweiler";"WN";"173";"63,73,5";"Bus";"366,381,382,382A";"31366_,31381_,31382_,31382a";4;"31";9,5218047;48,9285592;
"Däfern";"Lippoldsw. Däfern";"4980";"de:08119:4980";08119006;"Auenwald";"Lippoldsweiler";"WN";"173";"63,73,5";"Bus";"366,382A";"31366_,31382a";2;"31";9,5348153;48,9277532;
"Hohnweiler Rathaus";"Lippoldsw. Hohnw. Rathaus";"4981";"de:08119:4981";08119006;"Auenwald";"Lippoldsweiler";"WN";"173";"63,73,5";"Bus";"366,381,382,382A";"31366_,31381_,31382_,31382a";4;"31";9,5236808;48,9317879;
"Badstraße";"Lippoldsw. Badstraße";"4982";"de:08119:4982";08119006;"Auenwald";"Lippoldsweiler";"WN";"173";"63,73,5";"Bus";"366,381,382,382A";"31366_,31381_,31382_,31382a";4;"31";9,5230155;48,9373391;
"Naturfreundehaus";"Sechselberg Naturfreundehaus";"4984";"de:08119:4984";08119004;"Althütte";"Sechselberg";"WN";"573";"72,73,5";"Bus";"382,382A";"31382_,31382a";2;"31";9,5432666;48,9419303;
"Feuerwehrgerätehaus";"Sechselb. Feuerwehrgerätehaus";"4985";"de:08119:4985";08119004;"Althütte";"Sechselberg";"WN";"573";"72,73,5";"Bus";"382,382A";"31382_,31382a";2;"31";9,5474542;48,9428906;
"Schule";"Sechselberg Schule";"4986";"de:08119:4986";08119004;"Althütte";"Sechselberg";"WN";"573";"72,73,5";"Bus;Ruftaxi";"373,382,382A,RT38";"31373_,31382_,31382a,51038_";4;"31,51";9,5565894;48,9443575;
"Waldenweiler";"Sechselberg Waldenweiler";"4987";"de:08119:4987";08119004;"Althütte";"Sechselberg";"WN";"573";"72,73,5";"Bus";"382,382A";"31382_,31382a";2;"31";9,5626036;48,9292574;
"Ebniseestraße";"Oberweissach Ebniseestr.";"4988";"de:08119:4988";08119083;"Weissach im Tal";"Oberweissach";"WN";"163";"53,63,4,5";"Bus";"382,382A,384";"31382_,31382a,31384_";3;"31";9,5029446;48,9217820;
"Bruch";"Bruch";"4989";"de:08119:4989";08119083;"Weissach im Tal";"Bruch (Weissach)";"WN";"163";"53,63,4,5";"Bus";"382,382A,384";"31382_,31382a,31384_";3;"31";9,5185783;48,9214340;
"Kelter";"Bruch Kelter";"4990";"de:08119:4990";08119083;"Weissach im Tal";"Bruch (Weissach)";"WN";"163";"53,63,4,5";"Bus";"382,382A,384";"31382_,31382a,31384_";3;"31";9,5267053;48,9222064;
"Lutzenberg";"Althütte Lutzenberg";"4991";"de:08119:4991";08119004;"Althütte";"Althütte";"WN";"573";"72,73,5";"Bus";"230,382,382A,384";"31230_,31382_,31382a,31384_";4;"31";9,5492662;48,9139811;
"Kallenberg";"Althütte Kallenberg";"4992";"de:08119:4992";08119004;"Althütte";"Althütte";"WN";"573";"72,73,5";"Bus";"382A,384";"31382a,31384_";2;"31";9,5318704;48,9074804;
"Mannenberg Im Hau";"Rudersbg. Mannenbg. Im Hau";"4993";"de:08119:4993";08119061;"Rudersberg";"Rudersberg";"WN";"373";"72,73,5";"Bus";"230,382,382A";"31230_,31382_,31382a";3;"31";9,5543232;48,9098654;
"Mannenberg";"Rudersberg Mannenberg";"4994";"de:08119:4994";08119061;"Rudersberg";"Rudersberg";"WN";"373";"72,73,5";"Bus";"230,382,382A";"31230_,31382_,31382a";3;"31";9,5536707;48,9076115;
"Rathaus";"Althütte Rathaus";"4995";"de:08119:4995";08119004;"Althütte";"Althütte";"WN";"573";"72,73,5";"Bus";"228,382,382A,384";"31228_,31382_,31382a,31384_";4;"31";9,5698687;48,9177027;
"Ortsmitte";"Althütte Ortsmitte";"4996";"de:08119:4996";08119004;"Althütte";"Althütte";"WN";"573";"72,73,5";"Bus";"228,382,382A,384";"31228_,31382_,31382a,31384_";4;"31";9,5726554;48,9132198;
"Strohhof";"Althütte Strohhof";"4997";"de:08119:4997";08119004;"Althütte";"Althütte";"WN";"573";"72,73,5";"Bus";"228,382,382A,384";"31228_,31382_,31382a,31384_";4;"31";9,5772228;48,9117762;
"Klaffenbach";"Rudersberg Klaffenbach";"4998";"de:08119:4998";08119061;"Rudersberg";"Rudersberg";"WN";"172";"62,72,5";"Bus";"228,330";"31228_,31330_";2;"31";9,5739472;48,8973780;
"Grauhaldenhof";"Rudersberg Grauhaldenhof";"4999";"de:08119:4999";08119061;"Rudersberg";"Rudersberg";"WN";"172";"62,72,5";"Bus";"228,330";"31228_,31330_";2;"31";9,5585372;48,8950708;
"Kirche";"Neuenhaus Kirche";"5000";"de:08116:5000";08116081;"Aichtal";"Neuenhaus";"ES";"159";"49,59,3,4";"Bus;Nachtbus";"167,808A,809,809A,N89";"31167_,31808a,31809_,31809a,34089_";5;"31,34";9,2057244;48,6226119;
"Ortsmitte";"Grötzingen Ortsmitte";"5001";"de:08116:5001";08116081;"Aichtal";"Grötzingen";"ES";"159";"49,59,3,4";"Bus;Nachtbus";"167,807,808A,809,809A,X16,N89";"31167_,31807_,31808a,31809_,31809a,31X16_,34089_";7;"31,34";9,2615935;48,6274082;
"Nellinger Linde";"Nellingen Nellinger Linde";"5003";"de:08116:5003";08116080;"Ostfildern";"Nellingen";"ES";"331";"30,31,2";"Bus;Nachtbus";"113,119,120,N19";"31113_,31119_,31120_,34019_";4;"31,34";9,3017684;48,7216415;
"Denkendorfer Straße";"Nellingen Denkendorfer Str.";"5005";"de:08116:5005";08116080;"Ostfildern";"Nellingen";"ES";"030";"30,2";"Bus;Nachtbus";"119,120,N19";"31119_,31120_,34019_";3;"31,34";9,3024192;48,7100665;
"Stadion";"Denkendorf Stadion";"5006";"de:08116:5006";08116015;"Denkendorf";"Denkendorf";"ES";"140";"30,40,2,3";"Bus;Nachtbus";"119,N19";"31119_,34019_";2;"31,34";9,3106514;48,7009352;
"Esslinger Straße";"Denkendorf Esslinger Str.";"5007";"de:08116:5007";08116015;"Denkendorf";"Denkendorf";"ES";"140";"30,40,2,3";"Bus;Nachtbus";"119,121,N19";"31119_,31121_,34019_";3;"31,34";9,3131181;48,6978081;
