Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Relationscode;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate;
"Korntaler-/Schubartstraße";"Ditz. Korntaler-/Schubartstr.";"3014";"de:08118:3014";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"624";"31624_";1;"31";9,0741871;48,8304980;
"Ditzenbrunner-/Knielstraße";"Ditz. Ditzenbrunner-/Knielstr.";"3015";"de:08118:3015";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"624";"31624_";1;"31";9,0767045;48,8290216;
"Hornbergstr./Lachebrückle";"Ditz. H.bergstr./Lachebrückle";"3016";"de:08118:3016";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"624,626";"31624_,31626_";2;"31";9,0771911;48,8265843;
"Zollern-/Lichtensteinstraße";"Ditz. Zollern-/L.steinstraße";"3017";"de:08118:3017";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"624,626";"31624_,31626_";2;"31";9,0777607;48,8250463;
"Am Maurener Berg";"Ditzingen Am Maurener Berg";"3019";"de:08118:3019";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"622,624";"31622_,31624_";2;"31";9,0652706;48,8342172;
"Bauern-/Breslauer Straße";"Ditz. Bauern-/Breslauer Straße";"3020";"de:08118:3020";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"622,624";"31622_,31624_";2;"31";9,0646963;48,8324640;
"Breslauer Straße/Kindergarten";"Ditz. Breslauer Str./Kinderg.";"3021";"de:08118:3021";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"622,624";"31622_,31624_";2;"31";9,0653605;48,8300088;
"Kleiststraße";"Böblingen Kleiststr.";"3027";"de:08115:3027";08115003;"Böblingen";"Böblingen";"BB";"048";"48,3";"Bus";"704";"31704_";1;"31";9,0165404;48,6944211;
"Hirschlander Straße";"Ditzingen Hirschlander Str.";"3028";"de:08118:3028";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus;Nachtbus";"620,623,623A,N65";"31620_,31623_,31623a,34065_";4;"31,34";9,0582766;48,8288886;
"Münchinger Straße";"Ditzingen Münchinger Str.";"3029";"de:08118:3029";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"535,622,624";"31535_,31622_,31624_";3;"31";9,0714361;48,8307605;
"Württembergstraße";"Ditzingen Württembergstraße";"3030";"de:08118:3030";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"624,626";"31624_,31626_";2;"31";9,0747357;48,8239872;
"Steinbruch";"Schöckingen Steinbruch";"3031";"de:08118:3031";08118011;"Ditzingen";"Schöckingen";"LB";"146";"36,46,2,3";"Bus;Nachtbus";"620,N65";"31620_,34065_";2;"31,34";9,0077219;48,8424187;
"Zeissstraße";"Ditzingen Zeissstraße";"3032";"de:08118:3032";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"626";"31626_";1;"31";9,0783508;48,8192638;
"Herdweg";"Ditzingen Herdweg";"3033";"de:08118:3033";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"626";"31626_";1;"31";9,0722414;48,8224961;
"Fuchsbau/Einkaufsmarkt";"Ditz. Fuchsbau/Einkaufsmarkt";"3034";"de:08118:3034";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"624";"31624_";1;"31";9,0630241;48,8242460;
"Thalesplatz";"Ditzingen Thalesplatz";"3035";"de:08118:3035";08118011;"Ditzingen";"Ditzingen";"LB";"146";"36,46,2,3";"Bus";"625";"31625_";1;"31";9,0615991;48,8172238;
"Dornierstraße";"Ditzingen Dornierstraße";"3036";"de:08118:3036";08118011;"Ditzingen";"Ditzingen";"LB";"146";"2,3";"Bus";"625,638";"31625_,31638_";2;"31";9,0670367;48,8206198;
"Johanna-Spyri-Weg";"Ditz. J.-Spyri-Weg";"3039";"de:08118:3039";08118011;"Ditzingen";"Ditzingen";"LB";"146";"2,3";"Bus";"535,624";"31535_,31624_";2;"31";9,0734153;48,8336547;
"Ob dem Korntaler Weg";"Ditz. Ob dem Kornt. Weg";"3040";"de:08118:3040";08118011;"Ditzingen";"Ditzingen";"LB";"146";"2,3";"Bus";"624";"31624_";1;"31";9,0770384;48,8335534;
"An der Lache";"Ditz. An der Lache";"3041";"de:08118:3041";08118011;"Ditzingen";"Ditzingen";"LB";"146";"2,3";"Bus";"626";"31626_";1;"31";9,0729713;48,8280438;
