id,name,municipality,locality,modes,lines,line_count,selection_reason
de:08115:3212,Goldberg,Böblingen,Böblingen,Bus; R-Bahn; S-Bahn,"S1, RE4, 704, 704A, 706, 708",6,surrounding_city_rail
de:08115:4692,Hallenbad,Böblingen,Böblingen,Bus; Nachtbus,"709, 760, 760A, 761, X16, X76, N74",7,surrounding_city_many_lines
de:08115:4631,Hauptstraße,Böblingen,Dagersheim,Bus; Nachtbus,"707, 717, 722, 722A, 723, 723A, 743, 744, 763, 763A, 766, N75",12,surrounding_city_many_lines
de:08115:4630,Haus der Vereine,Böblingen,Dagersheim,Bus; Nachtbus,"707, 717, 722, 722A, 723, 723A, 743, 744, 763, 763A, 766, N75",12,surrounding_city_many_lines
de:08115:4716,Herrenberger Straße,Böblingen,Böblingen,Bus; SEV-Bus,"R46E, 722, 722A, 763A, S1E",5,surrounding_city_many_lines
de:08115:4712,Heusteigstraße,Böblingen,Böblingen,Bus; R-Bahn,"RB46, 721A",2,surrounding_city_rail
de:08115:7115,Hulb,Böblingen,Böblingen,Bus; R-Bahn; S-Bahn,"S1, S61, RE4, SVG, 707, 722A, 728",7,surrounding_city_rail
de:08115:3103,Karlstraße,Böblingen,Böblingen,Bus; Nachtbus,"701, 701A, 703, 721, N74",5,surrounding_city_many_lines
de:08115:4632,Kirche,Böblingen,Dagersheim,Bus,"707, 717, 717A, 722A, 723, 723A, 763",7,surrounding_city_many_lines
de:08115:3125,Klaffensteinstraße,Böblingen,Böblingen,Bus; Ruftaxi,"705, 709, 723, 725, 760, 760A, 761, X16, X76, RT760",10,surrounding_city_many_lines
de:08115:4707,Kremser Straße,Böblingen,Böblingen,Bus; SEV-Bus,"R46E, 722, 722A, 723A, 763A",5,surrounding_city_many_lines
de:08115:5807,Panzerkaserne,Böblingen,Böblingen,Bus; Nachtbus,"704A, 708, 725, 734, N73",5,surrounding_city_many_lines
de:08115:3104,Postplatz,Böblingen,Böblingen,Bus,"705, 709, 709A, 721, 721A, 723, 725, 760, 760A, 761, X16, X76",12,surrounding_city_many_lines
de:08115:4672,Schönaicher First,Böblingen,Böblingen,Bus; Nachtbus,"709, 709A, 760, 760A, 761, X16, X76, N74",8,surrounding_city_many_lines
de:08115:4670,Schulzentrum Murkenbach,Böblingen,Böblingen,Bus,"703, 709A, 721A, 723",4,surrounding_city_keyword
de:08115:4633,Schützenweg,Böblingen,Dagersheim,Bus,"707, 717, 717A, 722A, 723, 723A, 763",7,surrounding_city_many_lines
de:08115:4205,Sindelfinger Straße,Böblingen,Böblingen,Bus,"701, 701A, 709, 709A, 744, 763, 763A",7,surrounding_city_many_lines
de:08115:3127,Sporthalle,Böblingen,Böblingen,Bus; Nachtbus,"703, 705, 709, 760, 760A, 761, X16, X76, N73",9,surrounding_city_many_lines
de:08115:6742,Südbahnhof,Böblingen,Böblingen,R-Bahn,RB46,1,surrounding_city_rail
de:08115:4619,Talstraße,Böblingen,Böblingen,Bus,"707, 717, 722A, 723, 728, 743, 744, 763, 763A, 766",10,surrounding_city_many_lines
de:08115:4713,Zimmerschlag,Böblingen,Böblingen,R-Bahn,RB46,1,surrounding_city_rail
de:08116:4037,Adalbert-Stifter-Schule,Esslingen am Neckar,Pliensauvorstadt,Bus,"102, 103, 122, 130, 131",5,surrounding_city_many_lines
de:08116:4047,Alleenstraße,Esslingen am Neckar,Zell (Esslingen),Bus,"102, 103, 104, 115, 138",5,surrounding_city_many_lines
de:08116:3807,Alte Heusteige,Esslingen am Neckar,Zell (Esslingen),Bus,"102, 103, 114A, 115, 138, 140",6,surrounding_city_many_lines
de:08116:3326,Bahnhof (Süd),Esslingen am Neckar,Oberesslingen,Bus,"104, 121",2,surrounding_city_keyword
de:08116:4170,Berufliches Schulzentrum,Esslingen am Neckar,Zell (Esslingen),Bus,"102, 103, 104, 114A, 115, 138",6,surrounding_city_many_lines
de:08116:3805,Charlottenplatz,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"101, 106, 114, 115, 140, N16",6,surrounding_city_many_lines
de:08116:7800,Esslingen (N),Esslingen am Neckar,Esslingen (N),R-Bahn; S-Bahn,"S1, RE5, RE6, MEX12, MEX16, MEX18",6,surrounding_city_rail
de:08116:4148,Gemeindezentrum,Esslingen am Neckar,Berkheim,Bus; Nachtbus,"113, 138, N13",3,surrounding_city_keyword
de:08116:4028,Hirschlandkopf,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"102, 103, 105, 108, 111, N14",6,surrounding_city_many_lines
de:08116:4022,Hochschule,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"108, 110, 111, 122, N12, N14",6,surrounding_city_many_lines
de:08116:6770,Im Holder,Esslingen am Neckar,Pliensauvorstadt,Bus; Nachtbus,"113, 118, 119, 120, N19",5,surrounding_city_many_lines
de:08116:3810,Indexstraße/Bahnhof,Esslingen am Neckar,Oberesslingen,Bus; Nachtbus,"101, 106, 114, 115, 140, N16",6,surrounding_city_many_lines
de:08116:4094,Katharinenstaffel,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"102, 103, 105, 108, 110, 111, N12, N14",8,surrounding_city_many_lines
de:08116:4034,Kleiner Markt,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"102, 103, 105, 108, 109, 110, 122, N14",8,surrounding_city_many_lines
de:08116:4063,Lenaudenkmal,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"102, 103, 105, 108, 111, N14",6,surrounding_city_many_lines
de:08116:2800,Maille,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"102, 103, 108, 110, 111, 113, 118, 119, 120, 130, 131, N14, N16, N19, N22",15,surrounding_city_many_lines
de:08116:1801,Mettingen,Esslingen am Neckar,Mettingen,Bus; R-Bahn; S-Bahn; SEV-Bus,"S1, RE6, MEX12, 101, 102, S1E",6,surrounding_city_rail
de:08116:4033,Neckar Forum,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"102, 103, 105, 108, 110, 122, N14",7,surrounding_city_many_lines
de:08116:5024,Oberer Eisbergweg,Esslingen am Neckar,Zollberg,Bus; Nachtbus,"113, 118, 119, 120, N19",5,surrounding_city_many_lines
de:08116:1802,Oberesslingen,Esslingen am Neckar,Oberesslingen,Bus; R-Bahn; S-Bahn,"S1, RE6, 138, 140",4,surrounding_city_rail
de:08116:2806,Pliensauturm,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"101, 102, 103, 104, 106, 108, 110, 111, 113, 114, 115, 118, 119, 120, 130, 131, 140, N12, N13, N14, N16, N19, N22",23,surrounding_city_many_lines
de:08116:4007,Schelztor,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"101, 102, 103, 105, 108, 109, 110, 115, 122, N14",10,surrounding_city_many_lines
de:08116:4006,Schwimmbad,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"101, 106, 113, 114, 115, 140, N13, N16",8,surrounding_city_many_lines
de:08116:3850,Steinbeisstraße,Esslingen am Neckar,Zell (Esslingen),Bus,"102, 103, 114A, 115, 138",5,surrounding_city_many_lines
de:08116:4002,Steinhalde,Esslingen am Neckar,Oberesslingen,Bus; Nachtbus,"101, 106, 114, 114A, 132, 140, N16",7,surrounding_city_many_lines
de:08116:4026,Weiherstraße,Esslingen am Neckar,Oberesslingen,Bus,"102, 103, 114A, 132, 138",5,surrounding_city_many_lines
de:08116:2801,Weilstraße,Esslingen am Neckar,Pliensauvorstadt,Bus; Nachtbus,"113, 118, 119, 120, 122, 130, 131, N19, N22",9,surrounding_city_many_lines
de:08116:1803,Zell,Esslingen am Neckar,Zell (Esslingen),Bus; R-Bahn; S-Bahn,"S1, RE6, MEX18, 102, 103, 114A, 115, 138, 140",9,surrounding_city_rail
de:08116:4113,Zentrum,Esslingen am Neckar,Sulzgries,Bus; Nachtbus,"109, 132, N12",3,surrounding_city_keyword
de:08116:4169,Zentrum,Esslingen am Neckar,Zell (Esslingen),Bus,"102, 103, 114A, 115, 138",5,surrounding_city_many_lines
de:08116:4027,Zimmerbachstraße,Esslingen am Neckar,Oberesslingen,Bus,"102, 103, 114A, 132, 138",5,surrounding_city_many_lines
