id,name,name_with_place,municipality,locality,county,tariff_zones,modes,lines,line_count,longitude,latitude
de:08118:3469,Elserring,Besigheim Elserring,Besigheim,Besigheim,LB,"55, 65, 4, 5",Bus,560,1,9.1602006,48.9966661
de:08111:318,Elsterstaffel,Elsterstaffel,Stuttgart,Stuttgart,S,"10, 1",Bus; Nachtbus,"U1E, N1",2,9.14955,48.75809
de:08115:6749,Elsterweg,Döffingen Elsterweg,Grafenau,Döffingen,BB,"56, 57, 4",Bus,"748, 748A",2,8.9089999,48.7168231
de:08115:2213,Eltinger Straße,Sindelfingen Eltinger Straße,Sindelfingen,Sindelfingen,BB,"47, 48, 3",Bus; Nachtbus,"702, 748, N73",3,9.0009337,48.7206174
de:08111:6210,Eltinger Straße,Eltinger Straße,Stuttgart,Stuttgart,S,"20, 1",Bus; Nachtbus; Stadtbahn,"U2, U9, 91, N2",4,9.1268222,48.7792405
de:08111:2358,Elwertstraße,Elwertstraße,Stuttgart,Stuttgart,S,"20, 1",Bus; Nachtbus,"45, N5",2,9.2175511,48.7983211
de:08111:193,Emerholz,Emerholz,Stuttgart,Stuttgart,S,"1, 2",Bus,98,1,9.1416726,48.8534277
de:08119:7094,Emil-Münz-Straße,Waiblingen Emil-Münz-Str.,Waiblingen,Waiblingen,WN,"32, 2",Bus,218,1,9.3136099,48.8247256
de:08111:2586,EnBW City,EnBW City,Stuttgart,Stuttgart,S,"20, 38, 1, 2",Bus; Stadtbahn,"U6, X4, X7, 77",4,9.1674707,48.7117272
de:08119:7704,Endersbach,Endersbach,Weinstadt,Endersbach,WN,"42, 3",Bus; Nachtbus; R-Bahn; Ruftaxi; S-Bahn; SEV-Bus,"S2, RE1, MEX13, 114, 202, 204, 206, 206A, 209, 219, N21, S2E, RT202, RT206",14,9.3701924,48.8131732
de:08119:4934,Endersbacher Straße,Stetten i. R. Endersb. Str.,Kernen im Remstal,Stetten (i. R.),WN,"32, 2",Bus; Nachtbus,"211, 212, 219, N21",4,9.3420436,48.7964087
de:08119:5165,Endersbacher Straße,Beinstein Endersbacher Str.,Waiblingen,Beinstein,WN,"32, 42, 2, 3",Bus; Nachtbus,"204, N21",2,9.3478764,48.8210392
de:08116:4121,Endstation,Neckarhalde Endstation,Esslingen am Neckar,Neckarhalde,ES,"31, 2",Bus; Nachtbus,"109, 132, N12",3,9.2928129,48.7475
de:08118:3597,Endwiesenstraße,Höpfigheim Endwiesenstraße,Steinheim an der Murr,Höpfigheim,LB,"55, 65, 4, 5",Bus,"444, 444A, N44",3,9.2380285,48.980031
de:08115:2321,Engelberg,Leonberg Engelberg,Leonberg,Leonberg,BB,"46, 3",Bus; Nachtbus,"X2, 92, N63",3,9.0274397,48.8017344
de:08119:4082,Engelberg,Winterbach Engelberg,Winterbach,Winterbach,WN,"52, 4",Bus,"106, 917",2,9.4669016,48.7908892
de:08119:3774,Engelberg Waldorfschule,Winterb. Engelb. Waldorfschule,Winterbach,Winterbach,WN,4,Bus,"106, 149, 206A, 245, 262, 917",6,9.4679699,48.7916133
de:08111:8,Engelboldstraße,Engelboldstraße,Stuttgart,Stuttgart,S,"20, 1",Nachtbus; Stadtbahn,"U14, N10",2,9.1280625,48.7374334
de:08118:3353,Ensinger Straße,Kleinglattbach Ensinger Str.,Vaihingen an der Enz,Kleinglattbach,LB,"56, 66, 4, 5",Bus; Nachtbus,"579, 591, 591A, N52",4,8.9665613,48.9524606
de:08118:7427,Entenäcker,Bissingen Entenäcker,Bietigheim-Bissingen,Bissingen (LB),LB,"45, 3",Bus,556,1,9.0922624,48.9416284
de:08416:2044,Entringen,Entringen,Ammerbuch,Entringen,TÜ,,Bus; R-Bahn; Ruftaxi,"RB63, 791, RT791",3,8.9630149,48.5521985
de:08117:3026,Enzbachweg,Schlat Enzbachweg,Schlat,Schlat,GP,6,Bus,980A,1,9.7163593,48.6536042
de:08236:2791,Enzberg,Enzberg,Mühlacker,Enzberg,PFLA,,R-Bahn; SEV-Bus,"RE1, MEX17, MEX17E",3,8.8002801,48.9341294
de:08118:5694,Enzbrücke,Bietigheim Enzbrücke,Bietigheim-Bissingen,Bietigheim,LB,"45, 3",Bus,"567, 572",2,9.1326587,48.9586199
de:08118:5751,Enzbrücke,Vaihingen (E) Enzbrücke,Vaihingen an der Enz,Vaihingen (E),LB,"56, 66, 4, 5",Bus,"592, 592A, 707",3,8.9555081,48.9299137
de:08116:4460,Enzenhardtplatz,Nürtingen Enzenhardtplatz,Nürtingen,Nürtingen,ES,"50, 60, 4, 5",Bus; Nachtbus,"182A, 185, 185A, 195, N85",5,9.3321204,48.6128648
de:08236:3015,Enzkreiskliniken,Mühlacker Enzkreiskliniken,Mühlacker,Mühlacker,PFLA,,Bus,707,1,8.8576531,48.9504449
de:08118:5563,Enzplatz,Besigheim Enzplatz,Besigheim,Besigheim,LB,"55, 65, 4, 5",Bus,"560, 568",2,9.1399362,48.9972771
de:08118:7477,Enzstraße,Untermberg Enzstraße,Bietigheim-Bissingen,Untermberg,LB,"45, 3",Bus; Nachtbus,"541, 554, 554A, N56",4,9.0822756,48.9448462
de:08118:5445,Enzstraße,Kornwestheim Enzstraße,Kornwestheim,Kornwestheim,LB,"34, 2",Bus; Nachtbus,"411, 412, N48",3,9.2090597,48.8641425
de:08118:5744,Enzweihingen B10,Enzweihingen B10,Vaihingen an der Enz,Enzweihingen,LB,"46, 56, 3, 4",Bus; Nachtbus,"503, 579, 595, N56",4,8.9824928,48.918249
de:08119:5977,Epplerinweg,Schorndorf Epplerinweg,Schorndorf,Schorndorf,WN,"52, 4",Bus,247,1,9.539235,48.7995925
de:08425:3601,Erbach,Erbach,Erbach,Erbach,ULLA,,R-Bahn,RE5,1,9.8949405,48.3257931
de:08111:2439,Erdbeerweg,Erdbeerweg,Stuttgart,Stuttgart,S,"20, 1",Bus,66,1,9.2173537,48.7527391
de:08118:3514,Erdmannhausen-Rielingshausen,Erdmannhausen-Rielingshausen,Erdmannhausen,Erdmannhausen,LB,"44, 55, 3, 4",R-Bahn; S-Bahn,"S4, MEX19, RE90, MEX90",4,9.2989308,48.9483447
de:08118:3532,Erdmannhäuser Straße,Marbach (N) Erdmannh. Str.,Marbach am Neckar,Marbach (N),LB,"44, 55, 3, 4",Bus,456,1,9.273597,48.9417805
de:08416:2052,Ergenzingen,Ergenzingen,Rottenburg am Neckar,Ergenzingen,TÜ,6,IC; R-Bahn,"RE4, RE14, RE40, RB41, SVG, IC",6,8.8101706,48.4896928
de:08115:4836,Erholungsheim,Gültstein Erholungsheim,Herrenberg,Gültstein,BB,"68, 5",Bus; Nachtbus,"794, N80",2,8.8804074,48.5784014
de:08236:3004,Erich-Fuchslocher-Platz,Mühlacker E.-Fuchslocher-Pl.,Mühlacker,Mühlacker,PFLA,,Bus,707,1,8.841569,48.9507657
de:08119:4917,Erich-Schumm-Straße,Murrh. Erich-Schumm-Straße,Murrhardt,Murrhardt,WN,"73, 5",Bus,"374, 377, 390, 390A",4,9.5832731,48.986066
de:08119:7514,Erlach,Großerlach Erlach,Großerlach,Großerlach,WN,"73, 74, 5",Bus; Ruftaxi,"372, 380, RT380",3,9.5343269,49.0428993
de:08116:2124,Erlach,Stetten (F) Erlach,Leinfelden-Echterdingen,Stetten (Leinfelden-Echt.),ES,"38, 2",Bus; Nachtbus,"811, 814, 818, 818A, N18",5,9.1728043,48.6623234
de:08119:4962,Erlach Abzweig,Großerlach Erlach Abzw.,Großerlach,Großerlach,WN,"73, 74, 5",Bus,"372, 380",2,9.5189124,49.040362
de:08119:5201,Erlenhof,Ödernhardt Erlenhof,Berglen,Ödernhardt,WN,"53, 3, 4",Bus,"245, 331, 336, 338",4,9.4538882,48.8463341
de:08119:6693,Erlenstraße,Schorndorf Erlenstraße,Schorndorf,Schorndorf,WN,"52, 4",Bus,246,1,9.52304,48.811672
de:08118:5695,Erligheim,Erligheim,Erligheim,Erligheim,LB,"55, 65, 4, 5",Bus; Nachtbus,"554, 554A, 572, N57",4,9.0984494,49.0190988
de:08118:7423,Erligheimer Straße,Löchgau Erligheimer Straße,Löchgau,Löchgau,LB,"55, 4",Bus; Nachtbus,"554, 554A, N57",3,9.1045165,49.0046433
de:08415:28108,Ermstalklinik,Bad Urach Ermstalklinik,Bad Urach,Bad Urach,RT,,R-Bahn,RB63,1,9.3871666,48.4939974
